### SECTION 1: PRACTICES (1472 rows)
id,nbu_code,name,section,category,parent_id,active
533,662675,"ANDROSTENEDIONA, Delta 4- (∆4)",Prácticas Especiales,,,true
534,662688,"ANFETAMINAS / METANFETAMINAS, confirmatorio",Prácticas Especiales,,,true
535,662700,"ANGELMAN, SÍNDROME de",Prácticas Especiales,,,true
29,660033,ANGIOTENSINA I,Prácticas Generales,,,true
30,660034,"ANHIDRASA CARBONICA B, ERITROCITARIA",Prácticas en Desuso,,,false
536,662704,ANION GAP,Prácticas Especiales,,,true
31,660035,ANTIBIOGRAMA (ATBG),Prácticas Generales,,,true
537,662706,ANTIBIOGRAMA AUTOMATIZADO,Prácticas Especiales,,,true
32,660036,ANTIBIOGRAMA BACILO DE KOCH (7) siete antibióticos,Prácticas Generales,,,true
538,662709,ANTICOAGULANTE LÚPICO,Prácticas Especiales,,,true
35,660042,ANTICUERPO ANTIMUSCULO LISO (ASMA),Prácticas Generales,,,true
53,660064,ANTICUERPOS Anti- HIV (A.D.),Prácticas en Desuso,,,false
52,660063,ANTICUERPOS Anti- HIV (ELISA),Prácticas Generales,,,true
37,660044,"ANTICUERPOS ANTIFRACCIÓN MICROSOMAL DE TIROIDES (AFM), (IFI)",Prácticas en Desuso,,,false
33,660040,"ANTICUERPOS ANTIGLOMERULAR, (IFI)",Prácticas Generales,,,true
34,660041,ANTICUERPOS ANTIMEMBRANA BASAL,Prácticas Generales,,,true
38,660046,ANTICUERPOS ANTITIROGLOBULINA (ATG),Prácticas Generales,,,true
36,660043,ANTICUERPOS CONTRA CEPA BACTERIANA AISLADA,Prácticas en Desuso,,,false
539,662712,"ANTIDIURÉTICA, HORMONA (HAD) -VASOPRESINA",Prácticas Especiales,,,true
540,662713,"ANTIDIURÉTICA, HORMONA urinaria (HAD u) VASOPRESINA urinaria",Prácticas Especiales,,,true
40,660050,ANTIESTAFILOLISINA,Prácticas en Desuso,,,false
41,660051,"ANTIESTREPTOLISINAS ""O"" (ASO / ASTO / AELO), cuantitativa",Prácticas Generales,,,true
42,660052,ANTIESTREPTOQUINASA,Prácticas en Desuso,,,false
43,660053,ANTIFÚNGICOS PRUEBA DE SENSIBILIDAD,Prácticas Generales,,,true
401,661000,ANTIGENO PROSTATICO ESPECÍFICO TOTAL PSA-t,Prácticas Generales,,,true
542,662730,"ANTÍGENO PROSTÁTICO ESPECÍFICO, COMPLEJADO (PSA c)",Prácticas Especiales,,,true
543,662734,"ANTÍGENO PROSTÁTICO ESPECÍFICO, Libre+Total (PSA- L+T)",Prácticas Especiales,,,true
541,662717,"ANTIGENOS BACTERIANOS, screening (Haemof..infl, Neis. mening., Strept. Pneum.)",Prácticas Especiales,,,true
544,662739,ANTIGENOS PANEL GINECOLÓGICO PCR (Chamydia trachomatis / Mycoplasma hominis / Mycoplasma genitalium / Ureaplasma urealyticum / Neisseria gonorrhoeae),Prácticas Especiales,,,true
545,662743,ANTIGENOS VIRALES PANEL de DIARREICOS PCR,Prácticas Especiales,,,true
546,662745,ANTIGENOS VIRALES PANEL de RESPIRATORIOS BÁSICO,Prácticas Especiales,,,true
547,662749,ANTIGENOS VIRALES PANEL de RESPIRATORIOS PCR BÁSICO,Prácticas Especiales,,,true
548,662751,ANTIGENOS VIRALES PANEL de RESPIRATORIOS PCR EXTENDIDO,Prácticas Especiales,,,true
44,660054,ANTIHIALURONIDASA,Prácticas en Desuso,,,false
549,662769,"ANTIMICOGRAMA LEVADURAS, Screening",Prácticas Especiales,,,true
45,660055,"ANTIMITOCONDRIALES, ANTICUERPOS (AMA)",Prácticas Generales,,,true
550,662780,ANTIMONIO sérico,Prácticas Especiales,,,true
551,662782,ANTIMONIO urinario,Prácticas Especiales,,,true
552,662790,"ANTIMULLERIANA, HORMONA (HAM)",Prácticas Especiales,,,true
46,660056,ANTINUCLEARES ANTICUERPOS (FAN / ANA / AAN),Prácticas Generales,,,true
48,660058,ANTITROMBINA FUNCIONAL,Prácticas Generales,,,true
553,662803,ANTITROMBINA III FUNCIONAL,Prácticas Especiales,,,true
554,662810,APOLIPOPROTEINA A (ApoA),Prácticas Especiales,,,true
555,662811,APOLIPOPROTEINA B (ApoB),Prácticas Especiales,,,true
556,662815,"APOLIPOPROTEINA E, GENOTIPO (Apo E)",Prácticas Especiales,,,true
557,662820,ARILSULTASA A en leucocitos,Prácticas Especiales,,,true
558,662822,ARILSULTASA A sérica,Prácticas Especiales,,,true
2898,02,ARSENICO,,,2922,true
49,660059,ARSENICO (As) sérico o urinario,Prácticas Generales,,,true
559,662834,ARSÉNICO pelo,Prácticas Especiales,,,true
560,662837,ARSÉNICO uña,Prácticas Especiales,,,true
50,660060,"ASCORBICO, ÁCIDO sérico",Prácticas Generales,,,true
561,662846,"ASPERGILLIUS, Ac. Anti",Prácticas Especiales,,,true
562,662850,ATRAZINA,Prácticas Especiales,,,true
563,662852,"AUTOHEMÓLISIS, PRUEBA DE",Prácticas Especiales,,,true
51,660061,"AUTOVACUNA, (no se aconseja por recomendación médica)",Prácticas en Desuso,,,false
54,660101,BACILOSCOPIA DIRECTA ZIEHL NEELSEN (por muestra),Prácticas Generales,,,true
56,660103,"BACILOSCOPIA, (IFI por muestra)",Prácticas Generales,,,true
55,660102,"BACILOSCOPIA, DIRECTA y CULTIVO (por muestra)",Prácticas Generales,,,true
564,662854,"BACILUS ANTHRACIS, Cultivo y Tipificación",Prácticas Especiales,,,true
565,662858,BACTERIAS RESISTENTES A CARBAPENEMES PCR o similar,Prácticas Especiales,,,true
